keypoint,x,y,action
Q,945,540,1
A,165,354,1
B,167,350,1
C,0,0,1
D,163,281,1
E,0,0,1
F,316,355,1
G,326,359,1
H,316,444,1
I,0,0,1
J,175,546,1
K,0,0,1
L,0,0,1
M,496,447,1
N,641,178,1
O,638,178,1
P,955,546,1
Q,945,540,1
A,165,354,1
B,167,350,1
C,0,0,1
D,163,281,1
E,0,0,1
F,316,355,1
G,326,359,1
H,316,444,1
I,0,0,1
J,175,546,1
K,0,0,1
L,0,0,1
M,496,447,1
N,641,178,1
O,638,178,1
P,955,546,1
Q,945,540,1
A,165,354,1
B,167,350,1
C,0,0,1
D,163,281,1
E,0,0,1
F,316,355,1
G,326,359,1
H,316,444,1
I,0,0,1
J,175,546,1
K,0,0,1
L,0,0,1
M,496,447,1
N,641,178,1
O,638,178,1
P,955,546,1
Q,945,540,1
A,165,354,1
B,167,350,1
C,0,0,1
D,163,281,1
E,0,0,1
F,316,355,1
G,326,359,1
H,316,444,1
I,0,0,1
J,175,546,1
K,0,0,1
L,0,0,1
M,496,447,1
N,641,178,1
O,638,178,1
P,955,546,1
Q,945,540,1
A,165,354,1
B,167,350,1
C,0,0,1
D,163,281,1
E,0,0,1
F,316,355,1
G,326,359,1
H,316,444,1
I,0,0,1
J,175,546,1
K,0,0,1
L,0,0,1
M,496,447,1
N,641,178,1
O,638,178,1
P,955,546,1
Q,945,540,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,1447,261,1
B,1680,264,1
C,1914,267,1
D,0,0,1
E,1448,261,1
F,1450,536,1
G,1676,533,1
H,1448,548,1
I,1682,546,1
J,240,805,1
K,1683,395,1
L,1682,396,1
M,1682,396,1
N,1680,402,1
O,1681,402,1
P,1681,411,1
Q,1681,680,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,960,1076,1
G,720,671,1
H,0,0,1
I,0,0,1
J,953,687,1
K,714,394,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1186,807,1
Q,966,809,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,0,0,1
B,965,669,1
C,0,0,1
D,972,663,1
E,0,0,1
F,972,669,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,1215,821,1
O,0,0,1
P,1218,934,1
Q,1423,934,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,734,278,1
B,945,274,1
C,728,273,1
D,952,279,1
E,718,279,1
F,961,420,1
G,706,420,1
H,973,674,1
I,495,673,1
J,1214,668,1
K,1432,665,1
L,961,808,1
M,717,810,1
N,1198,812,1
O,1439,670,1
P,1202,808,1
Q,1434,673,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,254,62,1
B,0,0,1
C,259,54,1
D,0,0,1
E,254,55,1
F,227,66,1
G,252,66,1
H,264,76,1
I,268,76,1
J,266,83,1
K,275,84,1
L,257,89,1
M,260,90,1
N,225,112,1
O,268,116,1
P,268,145,1
Q,270,145,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,950,410,1
B,948,266,1
C,719,265,1
D,0,0,1
E,490,275,1
F,1210,673,1
G,491,664,1
H,477,666,1
I,239,824,1
J,476,670,1
K,958,681,1
L,954,682,1
M,954,682,1
N,956,691,1
O,957,691,1
P,959,808,1
Q,959,808,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,408,183,1
B,414,179,1
C,0,0,1
D,472,188,1
E,0,0,1
F,472,246,1
G,476,245,1
H,410,364,1
I,404,251,1
J,496,409,1
K,0,0,1
L,404,375,1
M,404,368,1
N,306,354,1
O,317,309,1
P,159,365,1
Q,159,365,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,1198,256,1
B,0,0,1
C,1191,254,1
D,0,0,1
E,967,150,1
F,1192,270,1
G,961,264,1
H,718,391,1
I,961,398,1
J,971,536,1
K,966,537,1
L,726,403,1
M,959,530,1
N,736,680,1
O,1203,678,1
P,730,821,1
Q,1208,816,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,318,220,1
B,330,229,1
C,319,192,1
D,248,182,1
E,311,188,1
F,242,230,1
G,314,235,1
H,316,247,1
I,313,289,1
J,245,302,1
K,320,308,1
L,244,305,1
M,306,309,1
N,309,295,1
O,244,296,1
P,241,299,1
Q,235,299,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,228,167,1
G,223,114,1
H,355,224,1
I,301,168,1
J,227,119,1
K,235,120,1
L,228,129,1
M,225,129,1
N,214,362,1
O,212,362,1
P,0,0,1
Q,231,303,1
A,317,462,1
B,319,457,1
C,487,186,1
D,0,0,1
E,473,194,1
F,324,532,1
G,479,343,1
H,784,532,1
I,480,526,1
J,646,535,1
K,787,540,1
L,639,540,1
M,484,540,1
N,643,623,1
O,649,620,1
P,789,630,1
Q,0,0,1
A,317,462,1
B,319,457,1
C,487,186,1
D,0,0,1
E,473,194,1
F,324,532,1
G,479,343,1
H,784,532,1
I,480,526,1
J,646,535,1
K,787,540,1
L,639,540,1
M,484,540,1
N,643,623,1
O,649,620,1
P,789,630,1
Q,0,0,1
A,317,462,1
B,319,457,1
C,487,186,1
D,0,0,1
E,473,194,1
F,324,532,1
G,479,343,1
H,784,532,1
I,480,526,1
J,646,535,1
K,787,540,1
L,639,540,1
M,484,540,1
N,643,623,1
O,649,620,1
P,789,630,1
Q,0,0,1
A,317,462,1
B,319,457,1
C,487,186,1
D,0,0,1
E,473,194,1
F,324,532,1
G,479,343,1
H,784,532,1
I,480,526,1
J,646,535,1
K,787,540,1
L,639,540,1
M,484,540,1
N,643,623,1
O,649,620,1
P,789,630,1
Q,0,0,1
A,317,462,1
B,319,457,1
C,487,186,1
D,0,0,1
E,473,194,1
F,324,532,1
G,479,343,1
H,784,532,1
I,480,526,1
J,646,535,1
K,787,540,1
L,639,540,1
M,484,540,1
N,643,623,1
O,649,620,1
P,789,630,1
